,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
5381,Athlético-pr,Goiás,11,1,11078,13,0,9896,13,-4
5382,Vasco,Botafogo-rj,11,-1,15030,14,-3,10622,20,7
5383,Criciúma,Corinthians,11,-1,4370,11,-5,15624,14,3
5384,Flamengo,Atlético-mg,11,1,14352,10,-3,11520,13,0
5385,Vitória,Portuguesa,11,1,9900,15,3,7840,8,-5
5386,Atlético-mg,Botafogo-rj,12,0,11520,13,-3,10622,23,8
5387,Santos,Corinthians,12,0,13736,16,3,15624,17,5
5388,Vitória,Fluminense,12,0,9900,18,4,16208,13,-2
5389,Flamengo,Portuguesa,12,0,14352,13,0,7840,8,-6
5390,Athlético-pr,Bahia,12,1,11078,16,2,9282,19,3
5391,Criciúma,Cruzeiro,12,-1,4370,11,-7,13096,21,14
5392,Goiás,Náutico,12,1,9896,13,-6,8036,8,-10
5393,Vasco,Ponte preta,12,0,15030,14,-4,7600,11,-7
5394,Grêmio,Coritiba,12,-1,14460,16,1,12804,20,5
5395,Náutico,Atlético-mg,13,0,8036,8,-11,11520,14,-3
5396,Botafogo-rj,Goiás,13,0,10622,24,8,9896,16,-5
5397,Internacional,Athlético-pr,13,0,14360,19,2,11078,19,3
5398,Cruzeiro,Santos,13,0,13096,24,15,13736,17,3
5399,Corinthians,Vitória,13,1,15624,18,5,9900,19,4
5400,Fluminense,Flamengo,13,-1,16208,14,-2,14352,14,0
5401,Bahia,Grêmio,13,-1,9282,19,2,14460,16,0
5402,Ponte preta,Criciúma,13,1,7600,12,-7,4370,11,-8
5403,Portuguesa,São paulo,13,1,7840,9,-6,14786,12,-2
5404,Coritiba,Vasco,13,-1,12804,23,6,15030,15,-4
5405,Fluminense,Corinthians,14,0,16208,14,-3,15624,21,7
5406,Goiás,Flamengo,14,0,9896,17,-5,14352,17,1
5407,Coritiba,Portuguesa,14,0,12804,23,5,7840,12,-5
5408,Santos,Vasco,14,0,13736,18,3,15030,18,-3
5409,Atlético-mg,Bahia,14,1,11520,15,-3,9282,19,-1
5410,Criciúma,Náutico,14,1,4370,11,-10,8036,9,-11
5411,Grêmio,Cruzeiro,14,1,14460,19,3,13096,25,15
5412,Vitória,Ponte preta,14,1,9900,19,2,7600,15,-5
5413,São paulo,Athlético-pr,14,0,14786,12,-3,11078,20,3
5414,Botafogo-rj,Internacional,14,0,10622,25,8,14360,20,2
5415,Cruzeiro,Vitória,15,1,13096,25,13,9900,22,4
5416,Náutico,Fluminense,15,-1,8036,9,-14,16208,15,-3
5417,Vasco,Grêmio,15,-1,15030,19,-3,14460,22,5
5418,Internacional,Atlético-mg,15,0,14360,21,2,11520,18,-1
5419,Bahia,Santos,15,0,9282,19,-3,13736,19,3
5420,Flamengo,São paulo,15,0,14352,18,1,14786,13,-3
5421,Athlético-pr,Criciúma,15,1,11078,21,3,4370,14,-7
5422,Portuguesa,Botafogo-rj,15,-1,7840,13,-5,10622,26,8
5423,Corinthians,Coritiba,15,1,15624,22,7,12804,24,5
5424,Ponte preta,Goiás,15,-1,7600,15,-7,9896,18,-5
5425,Criciúma,Coritiba,16,1,4370,14,-8,12804,24,4
5426,Ponte preta,Cruzeiro,16,-1,7600,15,-8,13096,28,17
5427,Flamengo,Grêmio,16,-1,14352,19,1,14460,25,6
5428,Santos,Vitória,16,1,13736,20,3,9900,22,0
5429,Vasco,Corinthians,16,0,15030,19,-4,15624,25,8
5430,Internacional,Goiás,16,0,14360,22,2,9896,21,-4
5431,Atlético-mg,Portuguesa,16,1,11520,19,-1,7840,13,-7
5432,Athlético-pr,Botafogo-rj,16,1,11078,24,4,10622,29,10
5433,Bahia,Náutico,16,1,9282,20,-3,8036,9,-15
5434,São paulo,Fluminense,16,1,14786,14,-3,16208,18,-2
5435,Goiás,Atlético-mg,17,0,9896,22,-4,11520,22,0
5436,Náutico,Athlético-pr,17,-1,8036,9,-17,11078,27,6
5437,Grêmio,Ponte preta,17,1,14460,28,7,7600,15,-10
5438,Portuguesa,Bahia,17,1,7840,13,-8,9282,23,-1
5439,Fluminense,Santos,17,-1,16208,18,-3,13736,23,5
5440,Coritiba,Internacional,17,0,12804,24,3,14360,23,2
5441,Botafogo-rj,São paulo,17,0,10622,29,8,14786,17,-2
5442,Corinthians,Flamengo,17,1,15624,26,8,14352,19,0
5443,Vitória,Criciúma,17,-1,9900,22,-2,4370,17,-7
5444,Cruzeiro,Vasco,17,1,13096,31,19,15030,20,-4
5445,Goiás,Grêmio,18,1,9896,23,-4,14460,31,8
5446,Náutico,São paulo,10,-1,8036,7,-9,14786,9,-1
5447,Atlético-mg,Fluminense,18,0,11520,23,0,16208,18,-5
5448,Athlético-pr,Santos,18,1,11078,30,9,13736,26,7
5449,Bahia,Cruzeiro,18,-1,9282,23,-3,13096,34,21
5450,Flamengo,Vitória,18,1,14352,19,-4,9900,22,-3
5451,Internacional,Corinthians,18,1,14360,24,2,15624,29,12
5452,Portuguesa,Ponte preta,18,1,7840,16,-6,7600,15,-11
5453,Botafogo-rj,Coritiba,18,1,10622,30,8,12804,25,3
5454,São paulo,Criciúma,18,-1,14786,18,-2,4370,20,-6
5455,Náutico,Vasco,18,-1,8036,9,-20,15030,20,-6
5456,Vitória,Atlético-mg,19,0,9900,22,-4,11520,24,0
5457,Fluminense,Bahia,19,1,16208,19,-5,9282,23,-5
5458,Grêmio,Portuguesa,19,1,14460,31,6,7840,19,-5
5459,Ponte preta,Internacional,19,-1,7600,15,-12,14360,27,3
5460,Santos,Goiás,19,1,13736,26,6,9896,26,-2
5461,Vasco,Athlético-pr,19,0,15030,23,-3,11078,33,10
5462,Corinthians,Náutico,19,0,15624,29,11,8036,9,-23
5463,Criciúma,Botafogo-rj,19,-1,4370,23,-5,10622,33,10
5464,Coritiba,São paulo,19,1,12804,25,1,14786,18,-3
5465,Cruzeiro,Flamengo,19,1,13096,37,23,14352,22,-3
5466,Internacional,Santos,10,-1,14360,15,2,13736,12,2
5467,Bahia,Criciúma,20,0,9282,23,-6,4370,23,-6
5468,Athlético-pr,Fluminense,20,0,11078,34,10,16208,22,-4
5469,Botafogo-rj,Corinthians,20,1,10622,36,11,15624,30,11
5470,Goiás,Cruzeiro,20,-1,9896,26,-3,13096,40,24
5471,Náutico,Grêmio,20,-1,8036,10,-23,14460,34,7
5472,Portuguesa,Vasco,20,1,7840,19,-6,15030,24,-3
5473,Internacional,Vitória,20,0,14360,30,5,9900,23,-4
5474,Atlético-mg,Coritiba,20,1,11520,25,0,12804,28,3
5475,Flamengo,Santos,20,1,14352,22,-4,13736,29,7
